Sign In,Увійти
Hello!,Привіт!
CUSTOMER LOGIN,ВХІД КЛІЄНТА
Featured Products,Рекомендовані товари
Details,Деталіi
View and edit cart,Перегляд та редагування кошика
Your Plan Flexible Credit,Гнучкий кредит вашого плану
"Choose the Payment terms that suits you, from 12-36 months.","Виберіть умови оплати, які вам підходять, від 12-36 місяців."
Enjoy credit on future purchase €99 & over.,Отримайте кредит на майбутню покупку від 99 євро і більше.
24.9% APR representatives (Variable),"24,9% представників річних (змінна)"
View and edit cart,Перегляд та редагування кошика
Featured Products,Рекомендовані товари
Sold by,Продається
Supplier Login,Вхід постачальника
Place Order,Розміщувати замовлення
User,Користувач
Password,Пароль
Create New Customer Account,Створіть новий обліковий запис клієнта
Customer Login,Вхід клієнта
Search,Пошук
Search...,Шукати...
All Categories,всі категорії
Additional Information,Додаткова інформація
My Account,Мій рахунок
Logout,Вийти
Rate Supplier,Ставка постачальника
There are not suppliers to rate.,Немає постачальників для оцінки.
You are signed out,Ви вийшли
You have no other address entries in your address book.,У вашій адресній книзі немає інших записів адреси.
New Address,Нова адреса
Attention,Увага
No payment method selected,Не вибрано жодного способу оплати
Ship here,Відправити сюди
Line 1,Рядок 1
Review,Огляд
Order details:,Деталі замовлення:
Order Date:,Дата замовлення:
Your order # is:,Ваше замовлення №:
Reset My Password,Скинути мій пароль
If there is an account associated with,"Якщо є обліковий запис, пов’язаний з"
you will receive an email with a link to reset your password.,Ви отримаєте електронний лист із посиланням для відновлення пароля.
Set a New Password,Встановіть новий пароль
You updated your password.,Ви оновили свій пароль.
Your account isn't approved yet.,Ваш обліковий запис ще не затверджено.
Please enter your email address below to receive a password reset link.,"Будь ласка, введіть свою електронну адресу нижче, щоб отримати посилання для скидання пароля."
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,Вхід в обліковий запис був неправильним або ваш обліковий запис тимчасово вимкнено. Зачекайте та повторіть спробу пізніше.
Your are not supplier.,Ви не постачальник.
You have signed out and will go to our homepage in 5 seconds.,Ви вийшли і перейдете на нашу домашню сторінку через 5 секунд.
You saved the account information.,Ви зберегли інформацію облікового запису.
