Pick Up List,Liste de ramassage
List of scheduled collections and their status,Liste des collectes programmées et leur statut
Let us help Ukraine,Aidons l'Ukraine
Enter the products that are neede for donation in the form below,Entrez les produits dont vous avez besoin pour un don dans le formulaire ci-dessous
Product Sku,Référence du produit
Description,La description
Package Type,Type d'emballage
Brand/Maker,Marque/Fabricant
Quantity Needed,quantité requise
Item Name ,Nom de l'article
Donated By,Donné par
Pickup Address,Adresse de ramassage
Pickup Qunatity,Quantité de ramassage
Collection Requested Date,Date de collecte demandée
Collection Status,État de la collecte
Qunatity Donated,Quantité donnée
Donation Date,Date du don
"The items below are required for delivery to the people of Ukraine. If you are able to provide any of this, please select the card and fill in the amount you can donate.","Les articles ci-dessous sont nécessaires pour la livraison au peuple ukrainien. Si vous êtes en mesure de fournir l'un de ces éléments, veuillez sélectionner la carte et indiquer le montant que vous pouvez donner."
Donate,Donner
List of donations to date,Liste des dons à ce jour
Donations,Des dons
Item Name ,Nom de l'article
List of scheduled collections and their status,Liste des collectes programmées et leur statut
Pick Up List,Liste de ramassage
Enter the products that are neede for donation in the form below,Entrez les produits dont vous avez besoin pour un don dans le formulaire ci-dessous
Let us help Ukraine,Aidons l'Ukraine
