"Sign In",Увійти
"Hello!","Привіт!"
"CUSTOMER LOGIN","ВХІД КЛІЄНТА"
"Featured Products","Рекомендовані товари"
"Details","Деталіi"
"View and edit cart","Перегляд та редагування кошика"
"Your Plan Flexible Credit","Гнучкий кредит вашого плану"
"Choose the Payment terms that suits you, from 12-36 months.","Виберіть умови оплати, які вам підходять, від 12-36 місяців."
"Enjoy credit on future purchase €99 & over.","Отримайте кредит на майбутню покупку від 99 євро і більше."
"24.9% APR representatives (Variable)","24,9% представників річних (змінна)"
"View and edit cart","Перегляд та редагування кошика"
"Featured Products","Рекомендовані товари"
"Sold by","Продається"
"Supplier Login","Вхід постачальника"
"Place Order","Розміщувати замовлення"
"User","Користувач"
"Password","Пароль"
"Create New Customer Account","Створіть новий обліковий запис клієнта"
"Customer Login","Вхід клієнта"
